,zmu_origin,zmu_destination,OD_counts
891,1001349,1001306,2
892,1001349,1001306,2
893,1001352,1001325,1
894,1001354,1001338,5
895,1001354,1001338,5
896,1001354,1001338,5
897,1001354,1001338,5
898,1001354,1001338,5
899,1001355,1001317,4
900,1001355,1001317,4
901,1001355,1001317,4
902,1001355,1001317,4
903,1001358,1001393,1
904,1001360,1001716,4
905,1001360,1001716,4
906,1001360,1001716,4
907,1001360,1001716,4
908,1001362,1001618,2
909,1001362,1001618,2
910,1001364,1001349,3
911,1001364,1001349,3
912,1001364,1001349,3
913,1001365,1001329,1
914,1001368,1001399,1
915,1001369,1001336,1
916,1001371,1001371,3
917,1001371,1001371,3
918,1001371,1001371,3
919,1001378,1001349,4
920,1001378,1001349,4
921,1001378,1001349,4
922,1001378,1001349,4
923,1001398,1001348,5
924,1001398,1001348,5
925,1001398,1001348,5
926,1001398,1001348,5
927,1001398,1001348,5
928,1001403,1001007,6
929,1001403,1001007,6
930,1001403,1001007,6
931,1001403,1001007,6
932,1001403,1001007,6
933,1001403,1001007,6
934,1001405,1001405,2
935,1001405,1001405,2
936,1001405,1001618,1
937,1001408,1001956,3
938,1001408,1001956,3
939,1001408,1001956,3
940,1001409,1001409,1
941,1001410,1001216,1
942,1001413,1001355,1
943,1001413,1001629,2
944,1001413,1001629,2
945,1001414,1001409,2
946,1001414,1001409,2
947,1001417,1001414,2
948,1001417,1001414,2
949,1001417,1001417,2
950,1001417,1001417,2
951,1001418,1000106,2
952,1001418,1000106,2
953,1001418,1000173,1
954,1001418,1001346,2
955,1001418,1001346,2
956,1001418,1001620,1
957,1001501,1001635,4
958,1001501,1001635,4
959,1001501,1001635,4
960,1001501,1001635,4
961,1001504,1000903,2
962,1001504,1000903,2
963,1001504,1001504,5
964,1001504,1001504,5
965,1001504,1001504,5
966,1001504,1001504,5
967,1001504,1001504,5
968,1001505,1001623,3
969,1001505,1001623,3
970,1001505,1001623,3
971,1001513,1001547,1
972,1001514,1001518,4
973,1001514,1001518,4
974,1001514,1001518,4
975,1001514,1001518,4
976,1001514,1058034,1
977,1001518,1001121,2
978,1001518,1001121,2
979,1001518,1001211,1
980,1001518,1001413,4
981,1001518,1001413,4
982,1001518,1001413,4
983,1001518,1001413,4
984,1001519,1001508,3
985,1001519,1001508,3
986,1001519,1001508,3
987,1001523,1001417,1
988,1001528,1001529,1
989,1001535,1001036,1
990,1001537,1001538,1
991,1001539,1001413,3
992,1001539,1001413,3
993,1001539,1001413,3
994,1001539,1001539,1
995,1001540,1001636,1
996,1001548,1001548,4
997,1001548,1001548,4
998,1001548,1001548,4
999,1001548,1001548,4
1000,1001603,1001729,1
1001,1001604,1001605,4
1002,1001604,1001605,4
1003,1001604,1001605,4
1004,1001604,1001605,4
1005,1001606,1001253,2
1006,1001606,1001253,2
1007,1001607,1001607,1
1008,1001608,1000124,1
1009,1001608,1001623,3
1010,1001608,1001623,3
1011,1001608,1001623,3
1012,1001609,1001904,1
1013,1001610,1001609,3
1014,1001610,1001609,3
1015,1001610,1001609,3
1016,1001610,1001835,1
1017,1001612,1001546,1
1018,1001612,1001612,1
1019,1001614,1001613,2
1020,1001614,1001613,2
1021,1001615,1001231,2
1022,1001615,1001231,2
1023,1001617,1001605,2
1024,1001617,1001605,2
1025,1001618,1001618,3
1026,1001618,1001618,3
1027,1001618,1001618,3
1028,1001623,1000123,1
1029,1001623,1001506,1
1030,1001627,1001518,3
1031,1001627,1001518,3
1032,1001627,1001518,3
1033,1001627,1001608,1
1034,1001630,1001630,1
1035,1001635,1001108,1
1036,1001636,1001540,1
1037,1001701,1001714,1
1038,1001702,1001702,1
1039,1001707,1001723,4
1040,1001707,1001723,4
1041,1001707,1001723,4
1042,1001707,1001723,4
1043,1001708,1001723,1
1044,1001708,1001803,4
1045,1001708,1001803,4
1046,1001708,1001803,4
1047,1001708,1001803,4
1048,1001711,1000327,1
1049,1001712,1000909,1
1050,1001712,1001723,4
1051,1001712,1001723,4
1052,1001712,1001723,4
1053,1001712,1001723,4
1054,1001712,1002026,1
1055,1001714,1001627,1
1056,1001715,1000103,1
1057,1001715,1001703,3
1058,1001715,1001703,3
1059,1001715,1001703,3
1060,1001718,1001724,1
1061,1001722,1002006,2
1062,1001722,1002006,2
1063,1001724,1000139,1
1064,1001725,1001902,1
1065,1001726,1001119,1
1066,1001726,1001609,1
1067,1001730,1001312,2
1068,1001730,1001312,2
1069,1001737,1001811,2
1070,1001737,1001811,2
1071,1001801,1058034,2
1072,1001801,1058034,2
1073,1001803,1001241,2
1074,1001803,1001241,2
1075,1001805,1001833,3
1076,1001805,1001833,3
1077,1001805,1001833,3
1078,1001805,1001842,3
1079,1001805,1001842,3
1080,1001805,1001842,3
1081,1001806,1001807,1
1082,1001806,1001851,2
1083,1001806,1001851,2
1084,1001806,1002049,1
1085,1001807,1001365,3
1086,1001807,1001365,3
1087,1001807,1001365,3
1088,1001809,1001845,1
1089,1001809,1001916,1
1090,1001809,1001948,2
1091,1001809,1001948,2
1092,1001815,1001404,2
1093,1001815,1001404,2
1094,1001818,1002049,1
1095,1001822,1001736,3
1096,1001822,1001736,3
1097,1001822,1001736,3
1098,1001822,1001931,4
1099,1001822,1001931,4
1100,1001822,1001931,4
1101,1001822,1001931,4
1102,1001827,1001854,3
1103,1001827,1001854,3
1104,1001827,1001854,3
1105,1001829,1000118,2
1106,1001829,1000118,2
1107,1001835,1001807,1
1108,1001835,1001819,3
1109,1001835,1001819,3
1110,1001835,1001819,3
1111,1001836,1001809,3
1112,1001836,1001809,3
1113,1001836,1001809,3
1114,1001837,1001827,4
1115,1001837,1001827,4
1116,1001837,1001827,4
1117,1001837,1001827,4
1118,1001837,1001845,4
