,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
18095,0.44,272,2250.0,1000620,13.0,Roma,Tuscolano,4400,24,15
18096,0.21,884,4821.0,1000515,4.0,Roma,San Basilio,17900,19,607
18097,0.5,883,1998.0,1000637,18.0,Roma,Prenestino-Labicano,17800,30,198
18098,0.5,883,1998.0,1000637,0.0,Roma,Prenestino-Labicano,10000,22,5
18099,0.08,505,12378.0,1058127,1.0,Ciampino,,18200,27,29
18100,0.84,309,3567.0,1001506,12.0,Roma,Portuense,13166,27,6728
18101,0.26,35,7657.0,1002024,13.0,Roma,Cesano,21300,20,832
18102,100.0,407,10.0,1002067,3.0,Roma,Tor di Quinto,13200,17,1
18103,0.28,1059,3582.0,1001010,4.0,Roma,Appio Claudio,43700,47,2647
18104,1.97,857,1017.0,1000565,7.0,Roma,Pietralata,2900,9,751
18105,0.68,145,1481.0,1001247,17.0,Roma,Castel di Leva,4500,10,106
18106,0.82,100,2427.0,1000326,18.0,Roma,Nomentano,7800,18,986
18107,3.48,89,287.0,1000335,20.0,Roma,Nomentano,2200,4,330
18108,0.52,790,1937.0,1000332,22.0,Roma,Nomentano,6600,19,193
18109,1.35,145,1481.0,1001247,15.0,Roma,Castel di Leva,10400,18,595
18110,500.0,760,2.0,1000243,17.0,Roma,Flaminio,3300,15,53
18111,157.89,1262,19.0,1000718,9.0,Roma,Torre Spaccata,3966,9,15
18112,8.79,968,455.0,1000729,9.0,Roma,Tor Sapienza,2075,5,65
18113,1.39,994,1441.0,1058010,3.0,Arsoli,,4400,7,719
18114,4.67,722,214.0,1000158,7.0,Roma,Ripa,1900,7,22
18115,32.26,247,31.0,1001734,7.0,Roma,Della Vittoria,6000,21,0
18116,2.2,968,455.0,1000729,13.0,Roma,Tor Sapienza,1000,4,26
18117,3.66,944,1367.0,1000712,10.0,Roma,Tor Sapienza,2680,7,84
18118,6.59,968,455.0,1000729,11.0,Roma,Tor Sapienza,900,4,23
18119,28.99,917,69.0,1000626,16.0,Roma,Collatino,6350,24,325
18120,6.59,968,455.0,1000729,10.0,Roma,Tor Sapienza,17766,20,832
18121,0.22,977,4533.0,1000820,19.0,Roma,Torre Angela,900,3,2
18122,5.58,536,896.0,1058051,9.0,Licenza,,2360,6,296
18123,0.46,817,4385.0,1001548,4.0,Roma,Gianicolense,7800,27,406
18124,13.33,1329,150.0,1001632,6.0,Roma,Castel di Guido,100,1,506
18125,13.33,1329,150.0,1001632,7.0,Roma,Castel di Guido,100,2,102
18126,6.67,1329,150.0,1001632,4.0,Roma,Castel di Guido,100,4,872
18127,13.33,1329,150.0,1001632,9.0,Roma,Castel di Guido,1500,8,514
18128,6.67,1329,150.0,1001632,13.0,Roma,Castel di Guido,100,0,243
18129,1.12,536,896.0,1058051,11.0,Licenza,,4900,11,82
18130,1.12,536,896.0,1058051,15.0,Licenza,,33700,54,86
18131,1.12,536,896.0,1058051,8.0,Licenza,,900,2,962
18132,2.23,536,896.0,1058051,10.0,Licenza,,3200,7,27
18133,0.31,154,6371.0,1000842,20.0,Roma,Borghesiana,6950,11,84
18134,1.98,423,506.0,1001960,8.0,Roma,Santa Maria di Galeria,4900,9,6
18135,5.93,423,506.0,1001960,9.0,Roma,Santa Maria di Galeria,5466,8,8
18136,0.48,224,4151.0,1001018,12.0,Roma,Don Bosco,3000,8,258
18137,0.85,1158,3535.0,1001118,18.0,Roma,Ardeatino,5500,14,99
18138,1.61,1103,1864.0,1001710,11.0,Roma,Della Vittoria,41833,51,9878
18139,3.22,1103,1864.0,1001710,12.0,Roma,Della Vittoria,4800,8,76
18140,6.71,1162,149.0,1001117,6.0,Roma,Ardeatino,8500,21,842
18141,0.34,468,5863.0,1002052,7.0,Roma,Tomba di Nerone,8900,24,660
18142,8.57,660,350.0,1000220,5.0,Roma,Pinciano,9900,29,861
18143,0.64,113,1552.0,1000614,13.0,Roma,Prenestino-Labicano,7300,21,494
18144,6.07,774,824.0,1000269,15.0,Roma,Parioli,17180,38,247
18145,0.51,121,1947.0,1000920,3.0,Roma,Tuscolano,400,1,0
18146,0.33,713,3006.0,1000129,3.0,Roma,Esquilino,1400,4,0
18147,0.21,329,4684.0,1001708,23.0,Roma,Della Vittoria,800,2,97
18148,0.56,400,1796.0,1001945,23.0,Roma,Trionfale,1400,2,7
18149,0.37,365,5429.0,1001929,23.0,Roma,Trionfale,1200,2,6
18150,12.61,235,238.0,1000454,11.0,Roma,Marcigliana,5800,9,35
18151,0.49,1209,6178.0,1001605,4.0,Roma,Gianicolense,7133,11,87
18152,2.08,657,1440.0,1000521,14.0,Roma,Pietralata,9266,32,38
18153,55.56,249,54.0,1000328,15.0,Roma,Nomentano,2866,8,10
18154,3.37,745,1779.0,1000336,16.0,Roma,Nomentano,9066,27,618
18155,2.87,1115,697.0,1001389,16.0,Roma,Castel Fusano,1550,7,104
18156,0.57,1323,3513.0,1001372,19.0,Roma,Acilia Sud,8700,12,230
18157,0.3,1100,3386.0,1001377,21.0,Roma,Castel Fusano,6300,9,114
18158,0.44,1278,2270.0,1001327,0.0,Roma,Acilia Sud,9500,12,195
18159,10.99,390,91.0,1000178,20.0,Roma,Celio,27900,40,26
18160,0.1,1319,10200.0,1001504,22.0,Roma,Portuense,10000,19,105
18161,1.1,1275,905.0,1001321,23.0,Roma,Castel Fusano,16500,20,52
18162,1.15,1302,873.0,1001732,5.0,Roma,Trionfale,15200,54,20
18163,0.49,1060,4119.0,1001626,21.0,Roma,Gianicolense,3350,10,200
18164,3.44,1302,873.0,1001732,17.0,Roma,Trionfale,1133,6,280
18165,0.19,909,5272.0,1000540,21.0,Roma,Tor Sapienza,31400,29,239
18166,2.77,165,723.0,1001959,18.0,Roma,Casalotti,8800,14,37
18167,0.76,179,2630.0,1000641,19.0,Roma,Prenestino-Labicano,4650,13,52
18168,0.78,498,1277.0,1058008,13.0,Arcinazzo romano,,1900,5,1240
18169,0.78,498,1277.0,1058008,15.0,Arcinazzo romano,,1500,4,99
18170,50.0,765,60.0,1000239,3.0,Roma,Pinciano,24100,29,664
18171,0.87,290,1154.0,1000835,4.0,Roma,Lunghezza,800,3,2572
18172,5.28,259,379.0,1000432,17.0,Roma,Marcigliana,10000,13,88
18173,0.68,342,1462.0,1001849,13.0,Roma,Aurelio,1000,3,103
18174,0.68,342,1462.0,1001849,19.0,Roma,Aurelio,29200,30,99
18175,5.52,464,362.0,1002048,18.0,Roma,Della Vittoria,11400,24,171
18176,0.68,342,1462.0,1001849,22.0,Roma,Aurelio,17000,35,224
18177,0.48,29,4146.0,1001917,1.0,Roma,Trionfale,5150,10,250
18178,0.24,29,4146.0,1001917,0.0,Roma,Trionfale,8100,11,418
18179,0.32,698,3139.0,1000106,20.0,Roma,S.Angelo,6400,24,17
18180,0.88,566,2281.0,1058078,8.0,Poli,,3850,9,457
18181,0.88,566,2281.0,1058078,9.0,Poli,,5100,10,21
18182,1.5,496,668.0,1058021,10.0,Casape,,4200,7,79
18183,0.44,566,2281.0,1058078,13.0,Poli,,4300,8,125
18184,1.5,496,668.0,1058021,9.0,Casape,,4300,6,13
18185,0.88,566,2281.0,1058078,15.0,Poli,,3900,8,5
18186,2.99,496,668.0,1058021,17.0,Casape,,2150,4,21
18187,0.44,566,2281.0,1058078,5.0,Poli,,6700,12,726
18188,7.75,1217,645.0,1001829,13.0,Roma,Casalotti,2980,6,15
18189,0.46,817,4385.0,1001548,12.0,Roma,Gianicolense,4200,11,7
18190,5.21,209,192.0,1001840,12.0,Roma,Casalotti,9000,20,3
18191,6.83,1328,586.0,1001619,13.0,Roma,Castel di Guido,9175,13,130
18192,27.78,1159,72.0,1001602,9.0,Roma,Gianicolense,1250,5,8
18193,1.38,398,3615.0,1001937,5.0,Roma,Trionfale,11560,12,585
18194,0.9,923,2211.0,1000953,18.0,Roma,Tuscolano,6800,17,80
18195,0.62,636,3240.0,1000927,20.0,Roma,Appio-Latino,2900,9,84
18196,0.68,983,2962.0,1000918,20.0,Roma,Appio-Latino,5450,15,98
18197,1.87,421,536.0,1000908,5.0,Roma,Appio-Latino,600,2,0
18198,1.66,68,603.0,1000811,6.0,Roma,Acqua Vergine,52200,48,785
18199,1.62,989,2472.0,1000868,15.0,Roma,Borghesiana,9625,27,310
18200,0.39,963,5178.0,1000725,21.0,Roma,Tor Sapienza,11800,16,181
18201,13.33,1179,75.0,1001144,22.0,Roma,Ardeatino,18700,17,469
18202,0.26,1137,3833.0,1001044,23.0,Roma,Torre Gaia,21700,25,18
18203,3.64,570,825.0,1000643,16.0,Roma,Prenestino-Labicano,8733,19,193
18204,1.17,1114,1713.0,1001388,11.0,Roma,Castel Fusano,28200,30,21
18205,7.81,576,256.0,1058108,12.0,Vallepietra,,4900,8,36
18206,2.08,1187,480.0,1001207,12.0,Roma,Europa,2100,3,379
18207,142.86,1203,7.0,1001240,13.0,Roma,Europa,36400,27,169
18208,0.63,806,3154.0,1000433,9.0,Roma,Val Melaina,1000,6,1215
18209,0.85,155,2342.0,1000434,15.0,Roma,Val Melaina,1750,6,814
18210,1.86,976,1614.0,1001709,4.0,Roma,Della Vittoria,36433,41,740
18211,1.21,244,829.0,1001722,11.0,Roma,Della Vittoria,1300,8,55
18212,4.27,1191,234.0,1001815,14.0,Roma,Casalotti,11700,32,571
18213,0.26,1137,3833.0,1001044,20.0,Roma,Torre Gaia,18700,21,194
18214,1.12,532,895.0,1000473,16.0,Roma,Monte Sacro,15200,39,584
18215,1.12,532,895.0,1000473,21.0,Roma,Monte Sacro,19300,61,171
18216,1.27,412,1571.0,1002002,1.0,Roma,Tor di Quinto,12450,26,87
18217,1.88,623,3191.0,1001133,6.0,Roma,Ostiense,11483,22,782
18218,3.83,596,261.0,1058132,9.0,GROTTAFERRATA,,17400,30,71
18219,1.25,313,1606.0,1001949,18.0,Roma,Primavalle,3450,7,174
18220,0.7,1310,4281.0,1001356,12.0,Roma,Lido di Ostia Levante,4300,9,196
18221,3.91,576,256.0,1058108,14.0,Vallepietra,,10700,18,120
18222,3.72,360,269.0,1001902,22.0,Roma,Trionfale,1600,7,24
18223,3.92,661,255.0,1058087,17.0,Roccagiovine,,25500,30,14
18224,0.4,613,4948.0,1000602,18.0,Roma,Prenestino-Labicano,5950,23,55
18225,0.69,359,4324.0,1001908,5.0,Roma,Primavalle,12500,35,1388
18226,0.49,1033,2038.0,1000864,2.0,Roma,Torre Maura,36100,62,793
18227,0.85,1263,1173.0,1001308,6.0,Roma,Casal Palocco,8400,25,820
18228,0.5,883,1998.0,1000637,12.0,Roma,Prenestino-Labicano,45100,92,23
18229,90.91,674,11.0,1001267,20.0,Roma,Torrino,10500,16,148
18230,1.97,308,1015.0,1000265,18.0,Roma,Parioli,300,2,47
18231,1.86,161,1073.0,1001814,9.0,Roma,Castel di Guido,29400,24,448
18232,1.3,1172,769.0,1001132,11.0,Roma,Ostiense,10300,16,1
18233,0.93,161,1073.0,1001814,13.0,Roma,Castel di Guido,40600,32,34
18234,1.36,818,1475.0,1000427,9.0,Roma,Castel Giubileo,26750,16,14701
18235,0.93,161,1073.0,1001814,16.0,Roma,Castel di Guido,10300,10,25
