,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
11908,4.94,970,5469.0,1000802,13.0,Roma,Don Bosco,8570,17,280
11909,0.65,505,12378.0,1058127,19.0,Ciampino,,3237,6,118
11910,0.27,422,7415.0,1001954,3.0,Roma,Casalotti,43400,33,567
11911,13.31,1296,2029.0,1001371,10.0,Roma,Castel Fusano,2974,7,402
11912,3.64,1301,3021.0,1001350,14.0,Roma,Casal Palocco,3854,11,625
11913,4.98,184,803.0,1000101,17.0,Roma,Ponte,3200,10,5
11914,1.93,343,4671.0,1001837,5.0,Roma,Aurelio,4122,16,425
11915,114.75,492,61.0,1001621,11.0,Roma,Gianicolense,4028,10,64
11916,4.23,233,4015.0,1001616,11.0,Roma,Gianicolense,3964,11,148
11917,1.25,184,803.0,1000101,19.0,Roma,Ponte,5300,17,170
11918,5.77,707,3117.0,1000119,15.0,Roma,San Saba,2038,9,161
11919,4.98,184,803.0,1000101,16.0,Roma,Ponte,6700,27,230
11920,6.37,388,1412.0,1000230,16.0,Roma,Salario,2700,12,118
11921,0.81,665,7401.0,1058093,18.0,Sacrofano,,10400,16,105
11922,1.63,800,3690.0,1000405,12.0,Roma,Val Melaina,1950,6,176
11923,4.92,844,3864.0,1000461,15.0,Roma,Val Melaina,5847,15,125
11924,15.83,41,379.0,1002042,14.0,Roma,Prima Porta,4283,5,15
11925,4.32,665,7401.0,1058093,15.0,Sacrofano,,8868,13,105
11926,7.56,441,529.0,1002020,6.0,Roma,Prima Porta,11800,14,1735
11927,3.81,1212,3408.0,1001223,13.0,Roma,Giuliano-Dalmata,6161,11,82
11928,1.57,35,7657.0,1002024,17.0,Roma,Cesano,3575,6,546
11929,5.37,872,5212.0,1000503,10.0,Roma,Collatino,8075,12,787
11930,5.06,1024,593.0,1000951,8.0,Roma,Tuscolano,3366,12,336
11931,8.43,1024,593.0,1000951,14.0,Roma,Tuscolano,2520,9,26
11932,5.86,212,512.0,1000312,12.0,Roma,Tiburtino,2600,12,54
11933,3.71,100,2427.0,1000326,10.0,Roma,Nomentano,9766,21,29
11934,15.18,1024,593.0,1000951,7.0,Roma,Tuscolano,6922,15,797
11935,7.81,666,1024.0,1000308,9.0,Roma,Tiburtino,6975,18,31
11936,75.86,779,145.0,1000302,8.0,Roma,Nomentano,4109,12,756
11937,107.56,882,344.0,1000513,5.0,Roma,Tor Cervara,17408,31,966
11938,1.2,933,5833.0,1000621,13.0,Roma,Tuscolano,4785,15,13
11939,15.5,483,258.0,1002062,19.0,Roma,Cesano,13025,13,68
11940,12.99,1207,308.0,1001221,8.0,Roma,Cecchignola,875,2,4
11941,0.29,1212,3408.0,1001223,20.0,Roma,Giuliano-Dalmata,11600,21,149
11942,4.01,903,2242.0,1000534,13.0,Roma,Collatino,9755,18,632
11943,1.92,730,1563.0,1000164,11.0,Roma,Trastevere,10700,25,299
11944,3.82,172,524.0,1002047,20.0,Roma,Cesano,14650,20,90
11945,6.13,75,9139.0,1058102,12.0,Segni,,12948,18,281
11946,5.14,75,9139.0,1058102,17.0,Segni,,6834,11,522
11947,4.61,1116,3251.0,1001391,11.0,Roma,Castel Fusano,4240,9,88
11948,6.46,1295,3098.0,1001343,10.0,Roma,Castel Fusano,5160,9,342
11949,0.88,73,18174.0,1058097,4.0,Santa marinella,,32625,31,871
11950,10.81,677,555.0,1000217,5.0,Roma,Trieste,9416,27,1311
11951,1.58,326,1903.0,1001822,10.0,Roma,Trionfale,3166,5,20
11952,102.27,920,88.0,1000552,13.0,Roma,Settecamini,7911,15,33
11953,68.18,920,88.0,1000552,14.0,Roma,Settecamini,7016,12,251
11954,2.68,368,3362.0,1001910,17.0,Roma,Primavalle,4377,15,1927
11955,4.92,711,1424.0,1000139,6.0,Roma,Monti,17285,46,189
11956,7.38,1270,4742.0,1001314,6.0,Roma,Lido di Ostia Ponente,6808,15,532
11957,58.14,1297,86.0,1001342,13.0,Roma,Lido di Castel Fusano,13240,19,155
11958,28.17,3,71.0,1000456,3.0,Roma,Marcigliana,25700,22,2061
11959,1.27,1327,4735.0,1001610,9.0,Roma,Gianicolense,9950,17,1261
11960,2.83,331,13428.0,1001827,9.0,Roma,Casalotti,3534,8,182
11961,15.62,209,192.0,1001840,16.0,Roma,Casalotti,3566,8,184
11962,5.21,209,192.0,1001840,9.0,Roma,Casalotti,3000,5,18
11963,0.51,5,1959.0,1001963,8.0,Roma,Casalotti,6800,9,949
11964,0.52,49,3879.0,1058004,10.0,Allumiere,,38700,33,63
11965,0.53,143,1898.0,1001956,11.0,Roma,Santa Maria di Galeria,67800,43,1
11966,0.26,49,3879.0,1058004,11.0,Allumiere,,6200,13,5
11967,5.24,480,1717.0,1058002,10.0,Agosta,,4700,7,222
11968,3.49,480,1717.0,1058002,16.0,Agosta,,6850,11,152
11969,4.08,480,1717.0,1058002,2.0,Agosta,,9128,9,1056
11970,8.74,480,1717.0,1058002,15.0,Agosta,,4686,8,25
11971,5.18,543,772.0,1058055,14.0,Marano equo,,17675,19,200
11972,6.99,480,1717.0,1058002,14.0,Agosta,,6450,11,288
11973,4.1,224,4151.0,1001018,5.0,Roma,Don Bosco,4658,13,820
11974,0.69,133,1453.0,1001844,1.0,Roma,Primavalle,42300,28,1894
11975,3.13,224,4151.0,1001018,15.0,Roma,Don Bosco,3323,11,192
11976,2.16,411,3712.0,1001042,7.0,Roma,Torre Maura,1425,4,399
11977,5.05,1020,1979.0,1000934,9.0,Roma,Appio-Latino,4500,9,15
11978,3.5,411,3712.0,1001042,9.0,Roma,Torre Maura,6953,10,1180
11979,1157.89,1086,19.0,1001033,8.0,Roma,Torre Maura,5972,11,583
11980,28.34,886,247.0,1001252,5.0,Roma,Castel Porziano,5685,11,199
11981,1.59,577,627.0,1000937,11.0,Roma,Tuscolano,7600,26,141
11982,39.22,868,102.0,1000545,8.0,Roma,Pietralata,40250,35,245
