,counts,index_zmu,POP_TOT_ZMU,zmu,hr,day,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13845,0.68,1018,1470.0,1000848,20.0,2022-10-20,Roma,Acqua Vergine,10800.0,11.0,234.0
13846,0.49,201,2033.0,1001364,21.0,2022-10-20,Roma,Acilia Sud,44300.0,36.0,43.0
13847,29.41,674,34.0,1001267,20.0,2022-10-20,Roma,Torrino,10500.0,16.0,149.0
13848,0.43,353,2312.0,1001854,16.0,2022-10-20,Roma,Castel di Guido,1900.0,6.0,80.0
13849,0.23,834,4278.0,1000442,5.0,2022-10-20,Roma,Castel Giubileo,5200.0,6.0,835.0
13850,6.25,837,160.0,1000447,9.0,2022-10-20,Roma,Casal Boccone,3300.0,11.0,130.0
13851,6.25,837,160.0,1000447,15.0,2022-10-20,Roma,Casal Boccone,1700.0,5.0,6.0
13852,0.41,860,2465.0,1000476,18.0,2022-10-20,Roma,Tor San Giovanni,2500.0,5.0,140.0
13853,0.23,695,4377.0,1001533,11.0,2022-10-20,Roma,Portuense,4500.0,9.0,61.0
13854,0.48,1098,2078.0,1001376,20.0,2022-10-20,Roma,Casal Palocco,7300.0,10.0,134.0
13855,0.43,108,2342.0,1000930,5.0,2022-10-20,Roma,Appio-Latino,2100.0,8.0,719.0
13856,1.63,1242,612.0,1001258,9.0,2022-10-20,Roma,Vallerano,14200.0,15.0,3.0
13857,1.09,912,915.0,1000544,18.0,2022-10-20,Roma,Pietralata,16900.0,23.0,662.0
13858,0.23,695,4377.0,1001533,17.0,2022-10-20,Roma,Portuense,4000.0,19.0,58.0
13859,0.7,818,1435.0,1000427,9.0,2022-10-20,Roma,Castel Giubileo,14400.0,9.0,14.0
13860,62.5,286,16.0,1001706,11.0,2022-10-20,Roma,Della Vittoria,8100.0,10.0,54.0
13861,1.35,708,743.0,1000121,14.0,2022-10-20,Roma,Ostiense,6300.0,31.0,146.0
13862,0.85,205,2348.0,1001628,15.0,2022-10-20,Roma,Gianicolense,25400.0,43.0,21.0
13863,0.98,161,1023.0,1001814,16.0,2022-10-20,Roma,Castel di Guido,10300.0,10.0,25.0
13864,0.8,753,2502.0,1000224,5.0,2022-10-20,Roma,Pinciano,2800.0,9.0,235.0
13865,0.56,583,1780.0,1000242,9.0,2022-10-20,Roma,Parioli,2100.0,7.0,9.0
13866,1.26,718,793.0,1000214,16.0,2022-10-20,Roma,Trieste,200.0,2.0,70.0
13867,6.29,622,159.0,1000209,12.0,2022-10-20,Roma,Pinciano,6300.0,17.0,72.0
13868,0.12,55,8035.0,1058024,22.0,2022-10-20,Castelnuovo di po,,34000.0,32.0,234.0
13869,0.19,884,5285.0,1000515,9.0,2022-10-20,Roma,San Basilio,5400.0,15.0,28.0
13870,0.62,215,1601.0,1000933,14.0,2022-10-20,Roma,Appio-Latino,600.0,2.0,184.0
13871,333.33,736,3.0,1000180,14.0,2022-10-20,Roma,Ripa,1600.0,4.0,3.0
13872,0.25,419,4014.0,1001951,6.0,2022-10-20,Roma,Tomba di Nerone,700.0,3.0,1466.0
13873,1.81,393,1103.0,1001936,16.0,2022-10-20,Roma,Tomba di Nerone,5050.0,13.0,278.0
13874,0.54,302,1869.0,1001807,1.0,2022-10-20,Roma,Aurelio,2100.0,3.0,423.0
13875,0.84,482,1193.0,1058027,10.0,2022-10-20,Cerreto laziale,,15600.0,17.0,16.0
13876,1.73,417,579.0,1002011,15.0,2022-10-20,Roma,Grottarossa,12200.0,44.0,5.0
13877,0.23,1032,4363.0,1000863,3.0,2022-10-20,Roma,Borghesiana,14100.0,20.0,492.0
13878,0.66,1067,3051.0,1001013,10.0,2022-10-20,Roma,Appio Claudio,15900.0,17.0,471.0
13879,0.75,544,1328.0,1000232,18.0,2022-10-20,Roma,Pinciano,5300.0,11.0,92.0
13880,1.68,748,596.0,1000212,21.0,2022-10-20,Roma,Pinciano,5100.0,12.0,136.0
13881,0.32,167,3116.0,1000422,14.0,2022-10-20,Roma,Monte Sacro,3100.0,11.0,1342.0
13882,0.41,566,2433.0,1058078,9.0,2022-10-20,Poli,,7700.0,14.0,3.0
13883,1.36,496,737.0,1058021,9.0,2022-10-20,Casape,,4300.0,5.0,14.0
13884,1.36,496,737.0,1058021,17.0,2022-10-20,Casape,,4000.0,7.0,8.0
13885,0.82,566,2433.0,1058078,15.0,2022-10-20,Poli,,3900.0,8.0,5.0
13886,0.21,1154,4847.0,1001112,5.0,2022-10-20,Roma,Ardeatino,10400.0,32.0,985.0
13887,2.64,858,379.0,1000546,14.0,2022-10-20,Roma,Pietralata,10200.0,31.0,120.0
13888,2.39,1225,419.0,1001232,8.0,2022-10-20,Roma,Vallerano,1600.0,3.0,15365.0
13889,1.22,448,821.0,1001374,7.0,2022-10-20,Roma,Acilia Sud,2000.0,4.0,86.0
13890,1.78,1108,1126.0,1001390,17.0,2022-10-20,Roma,Castel Fusano,10950.0,25.0,420.0
13891,0.81,1296,1241.0,1001371,18.0,2022-10-20,Roma,Castel Fusano,400.0,3.0,26.0
13892,0.29,642,3455.0,1000536,15.0,2022-10-20,Roma,Pietralata,17300.0,26.0,544.0
13893,1.03,1125,969.0,1001508,21.0,2022-10-20,Roma,Portuense,6800.0,15.0,196.0
13894,0.54,1033,1845.0,1000864,17.0,2022-10-20,Roma,Torre Maura,14700.0,46.0,590.0
13895,0.54,1033,1845.0,1000864,20.0,2022-10-20,Roma,Torre Maura,15500.0,31.0,71.0
13896,0.44,104,2295.0,1000470,7.0,2022-10-20,Roma,Monte Sacro,5900.0,17.0,911.0
13897,0.33,919,3038.0,1000560,18.0,2022-10-20,Roma,Ponte Mammolo,26500.0,30.0,284.0
13898,0.53,869,1871.0,1000549,6.0,2022-10-20,Roma,Ponte Mammolo,28900.0,49.0,572.0
13899,1.07,842,1873.0,1000464,13.0,2022-10-20,Roma,Monte Sacro Alto,3900.0,11.0,142.0
13900,0.43,332,2335.0,1001919,14.0,2022-10-20,Roma,Della Vittoria,11300.0,17.0,22.0
13901,0.23,362,4426.0,1001906,6.0,2022-10-20,Roma,Trionfale,15700.0,44.0,1281.0
13902,0.59,507,1707.0,1000481,17.0,2022-10-20,Roma,Monte Sacro Alto,12300.0,50.0,158.0
13903,3.53,36,283.0,1001322,5.0,2022-10-20,Roma,Castel Porziano,12200.0,19.0,1022.0
13904,0.25,829,4050.0,1000459,11.0,2022-10-20,Roma,Val Melaina,800.0,2.0,24.0
13905,1.24,816,1617.0,1000420,9.0,2022-10-20,Roma,Casal Boccone,2350.0,8.0,484.0
13906,0.68,981,1463.0,1000856,5.0,2022-10-20,Roma,Don Bosco,16800.0,44.0,2.0
