,zmu,index_zmu,idtrajectory,zmu_destination
2028,1058023,54.0,5461680,1058104
2029,1001305,1258.0,69537195,1001417
2030,1001104,1139.0,69363678,1001219
2031,1058039,526.0,16584457,1000568
2032,1001116,1160.0,69477422,1001106
2033,1000507,501.0,64114059,1001631
2034,1058073,559.0,32690059,1058042
2035,1000124,572.0,16476259,1001368
2036,1000842,154.0,16631720,1001053
2037,1001226,1218.0,37969681,1001211
2038,1001038,1091.0,81012920,1001054
2039,1001054,1147.0,31795734,1000704
2040,1000203,738.0,16488558,1000909
2041,1001123,1157.0,69409060,1001133
2042,1001411,287.0,63616465,1058079
2043,1000812,993.0,37598476,1000188
2044,1000260,770.0,63021565,1000540
2045,1000529,897.0,63478664,1000539
2046,1001209,1185.0,63494444,1001413
2047,1058057,62.0,69393703,1058111
2048,1001829,1217.0,63478627,1058079
2049,1001829,1217.0,5387717,1001938
2050,1058047,22.0,63039881,1058104
2051,1058104,76.0,63570761,1001048
2052,1001042,411.0,16591768,1001003
2053,1058133,614.0,16060919,1058125
2054,1001253,1238.0,37295525,1001212
2055,1058119,10.0,5459013,1058114
2056,1058127,505.0,63635476,1000720
2057,1001337,1291.0,64006603,1001367
2058,1058104,76.0,63003881,1058023
2059,1002007,427.0,31815120,1000503
2060,1058038,519.0,31708443,1001951
2061,1000464,842.0,37544598,1000470
2062,1058079,181.0,37510175,1001025
2063,1001217,1198.0,69330213,1001615
2064,1001355,658.0,63572897,1001317
2065,1058103,72.0,31752513,1058001
2066,1058047,22.0,37554796,1058104
2067,1001245,1235.0,69205843,1001127
2068,1001108,1152.0,69436544,1000146
2069,1058131,609.0,31675716,1058039
2070,1000843,1019.0,63018902,1000825
2071,1000825,1001.0,32676679,1000841
2072,1058104,76.0,31827176,1058023
2073,1000857,1011.0,16095689,1001210
2074,1058111,82.0,31826652,1058131
2075,1058114,32.0,63494793,1058040
2076,1001374,448.0,69462347,1001385
2077,1000714,955.0,37572519,1000868
2078,1058047,22.0,37274827,1000491
2079,1000924,111.0,69374519,1000948
2080,1000948,582.0,63572237,1000935
2081,1000935,1016.0,14543415,1000924
2082,1001101,139.0,69353932,1000255
2083,1001604,225.0,62976756,1001909
2084,1000103,692.0,16612621,1000195
2085,1001854,353.0,69436881,1001121
2086,1001253,1238.0,32967592,1001208
2087,1000812,993.0,31731093,1000540
2088,1001926,383.0,63472366,1001523
2089,1058104,76.0,63666140,1000511
2090,1000848,1018.0,37546046,1000819
2091,1000202,645.0,37272225,1000237
2092,1000816,208.0,16505747,1000850
2093,1001241,1231.0,69470262,1000123
2094,1001613,1204.0,63000999,1000118
2095,1000713,953.0,33017452,1000725
2096,1001940,168.0,63575935,1058065
2097,1000143,716.0,63669162,1058047
2098,1058117,77.0,5355253,1001414
2099,1002003,416.0,37594990,1001704
2100,1001810,306.0,16643737,1001910
2101,1001355,658.0,37704832,1001314
2102,1001031,624.0,31789044,1001028
2103,1002003,416.0,69280797,1002048
2104,1002048,464.0,5391258,1000244
2105,1058060,63.0,69352000,1058119
2106,1001139,1178.0,31818600,1001203
2107,1000826,116.0,63055568,1000849
2108,1001934,396.0,63651257,1002047
2109,1058015,53.0,69363700,1000724
2110,1001217,1198.0,33006380,1001842
2111,1001397,171.0,32971457,1001329
2112,1001353,1307.0,63020803,1001339
2113,1000849,117.0,16495695,1001635
2114,1001266,1244.0,5265279,1058018
2115,1000510,877.0,69230375,1000493
2116,1058104,76.0,37634577,1058047
2117,1058122,93.0,37231603,1000806
2118,1001736,1049.0,80937709,1002001
2119,1002001,414.0,31770947,1000503
2120,1001123,1157.0,62978075,1058009
2121,1002049,461.0,37599969,1002054
2122,1001333,1285.0,80853588,1001377
2123,1001377,1100.0,31801969,1001415
2124,1001317,1272.0,69230350,1001338
2125,1001939,1221.0,80865764,1058128
2126,1000503,872.0,69469307,1001628
2127,1000224,753.0,69480042,1001733
2128,1000474,831.0,5493267,1000402
2129,1000931,998.0,80872158,1000938
2130,1000921,346.0,37599236,1000257
2131,1001338,1183.0,31661383,1001357
2132,1001380,1105.0,31730379,1001364
2133,1000202,645.0,80943244,1000239
2134,1058129,39.0,69302583,1000808
2135,1001364,201.0,5169305,1000630
2136,1001323,1276.0,69248361,1001210
2137,1001904,258.0,31801574,1000206
2138,1058130,79.0,63976340,1000806
2139,1058009,45.0,5385051,1058003
2140,1001303,1254.0,69388026,1001380
2141,1002068,119.0,63571172,1002041
2142,1002041,114.0,15387282,1002068
2143,1000414,812.0,69289280,1000444
2144,1000444,838.0,16087555,1000440
2145,1000205,742.0,31814309,1001708
2146,1000252,98.0,69216571,1000263
2147,1058131,609.0,32692955,1058039
2148,1002075,489.0,62977563,1001935
2149,1000441,822.0,69374574,1000305
2150,1001635,678.0,16562781,1001107
2151,1001108,1152.0,37516174,1001112
2152,1001209,1185.0,37607854,1001502
2153,1001241,1231.0,16493403,1001518
2154,1001333,1285.0,63542603,1001303
2155,1001508,1125.0,31700589,1001217
2156,1058057,62.0,32738060,1000815
2157,1001314,1270.0,69417620,1001319
2158,1001229,1223.0,32705173,1001228
2159,1001339,628.0,69549996,1001357
2160,1000253,367.0,16470012,1001115
2161,1000866,1035.0,37296219,1058119
2162,1001205,1184.0,5525316,1000917
2163,1000414,812.0,64074395,1000419
2164,1058114,32.0,16475093,1058074
2165,1001526,382.0,32744313,1001505
2166,1000407,804.0,64042803,1000420
2167,1001505,207.0,69470237,1001527
2168,1001510,1126.0,31653963,1001208
2169,1000820,977.0,80963716,1001304
2170,1000842,154.0,5424255,1058128
2171,1001385,1112.0,16613075,1000221
2172,1058102,75.0,31777504,1000910
2173,1001253,1238.0,37267953,1001354
2174,1001352,1306.0,69336671,1001303
2175,1001954,422.0,33013017,1001927
2176,1000704,945.0,63606439,1000720
2177,1000459,829.0,31647811,1000442
2178,1001398,314.0,5275762,1001352
2179,1001268,191.0,31653607,1001259
2180,1001537,169.0,37523506,1000120
2181,1001226,1218.0,63579602,1001635
2182,1000142,715.0,80904558,1000168
2183,1000218,755.0,16085670,1001915
2184,1058131,609.0,62973363,1001022
2185,1001022,1076.0,16619783,1000733
2186,1000253,367.0,69380326,1000305
2187,1001226,1218.0,63665975,1001256
2188,1001725,1057.0,31744455,1001625
2189,1058011,51.0,69442527,1000806
2190,1000703,942.0,62899895,1000316
2191,1002022,1054.0,69471502,1000205
2192,1001044,1137.0,31764685,1000713
2193,1058073,559.0,69343231,1058012
2194,1001031,624.0,31713151,1001014
2195,1058079,181.0,69437444,1058003
2196,1002044,459.0,69236815,1001929
2197,1001742,200.0,31770812,1001715
2198,1001254,1239.0,31818304,1001628
2199,1002075,489.0,37660818,1001915
2200,1001418,18.0,32953203,1001410
2201,1001204,1182.0,80898141,1001107
2202,1058003,47.0,31704365,1058009
2203,1002043,40.0,63543785,1002011
2204,1002070,475.0,63542239,1002073
2205,1002073,469.0,16578562,1002010
2206,1058093,665.0,15469627,1000428
2207,1000529,897.0,69230776,1000142
2208,1001904,258.0,31670620,1001608
2209,1001205,1184.0,33018246,1001217
2210,1001271,1250.0,63645139,1001842
2211,1058002,480.0,32973519,1058103
2212,1000222,756.0,63592215,1000204
2213,1000204,210.0,16143128,1001203
2214,1001231,1224.0,60971641,1001260
2215,1001212,1190.0,81015260,1001266
2216,1001266,1244.0,63056158,1000642
2217,1058081,50.0,63623152,1058018
2218,1000702,941.0,5285969,1001008
2219,1002066,688.0,80853383,1000303
2220,1001226,1218.0,31713815,1002026
2221,1001842,344.0,63054703,1001833
2222,1058043,59.0,16132196,1058079
2223,1001116,1160.0,69358731,1001136
2224,1000710,951.0,37987814,1001018
2225,1058061,548.0,69229605,1058104
2226,1000704,945.0,37936751,1000805
2227,1001704,1280.0,69229558,1001716
2228,1001115,1062.0,80951638,1001111
2229,1001111,1151.0,63543394,1001105
2230,1001716,240.0,63021910,1001803
2231,1058064,551.0,69469872,1058060
2232,1000869,1036.0,80852489,1058064
2233,1058060,63.0,63640145,1058039
2234,1001253,1238.0,64057062,1000806
2235,1001209,1185.0,37625777,1001002
2236,1001821,160.0,16620447,1001604
2237,1058119,10.0,16068731,1058074
2238,1001838,315.0,69465598,1001719
2239,1000707,948.0,63566357,1000705
2240,1058059,491.0,31746721,1001707
2241,1001121,1161.0,32989322,1001224
2242,1001515,1312.0,16632141,1001418
2243,1001003,1052.0,63478288,1001720
2244,1001625,1048.0,69267329,1001111
2245,1058029,56.0,31720108,1001842
2246,1001609,1219.0,69316917,1001610
2247,1001109,1153.0,81003847,1000808
2248,1058065,553.0,5525263,1000215
2249,1000413,811.0,16074194,1000474
2250,1000719,952.0,80982766,1000704
2251,1000720,943.0,37606615,1000719
2252,1058102,75.0,69366847,1058034
2253,1001605,1209.0,37548112,1001623
2254,1001623,509.0,63606335,1001638
2255,1001638,598.0,5311578,1002061
2256,1001605,1209.0,31708038,1058022
2257,1000429,821.0,31662845,1000490
2258,1001353,1307.0,63600869,1001329
2259,1001233,1226.0,31668935,1001518
2260,1058104,76.0,37553598,1058029
2261,1002054,298.0,69459491,1000333
2262,1058003,47.0,37569063,1058133
2263,1001137,1165.0,16512271,1001211
2264,1001548,817.0,81008972,1001617
2265,1001254,1239.0,62988447,1001407
2266,1000829,1006.0,69374277,1058064
2267,1000512,881.0,69410291,1000550
2268,1000550,861.0,37551031,1000512
2269,1001226,1218.0,69454059,1001202
2270,1001202,1058.0,31765090,1001231
2271,1001617,1089.0,31820864,1001742
2272,1001351,1304.0,16459269,1001381
2273,1001017,546.0,63579165,1001224
2274,1001610,1327.0,69474166,1001631
2275,1001041,1056.0,36533338,1001518
2276,1001904,258.0,63571157,1001946
2277,1000703,942.0,81009356,1000638
2278,1000239,765.0,31749656,1002002
2279,1000512,881.0,80976467,1001021
2280,1001005,1055.0,37296598,1001016
2281,1000570,866.0,16047589,1000803
2282,1001317,1272.0,37624583,1058079
2283,1058064,551.0,80931016,1058060
2284,1001399,1104.0,69537568,1001225
2285,1001225,1216.0,32968380,1001338
2286,1001261,140.0,32703992,1001104
2287,1001225,1216.0,69367981,1001809
2288,1000444,838.0,31714206,1000422
2289,1000114,611.0,80958991,1000172
2290,1000172,512.0,31820552,1000187
2291,1000187,152.0,16095366,1000111
2292,1001605,1209.0,31825855,1001614
2293,1058104,76.0,81026788,1058047
2294,1058047,22.0,31705788,1058104
2295,1000644,146.0,37303855,1000305
2296,1058075,65.0,63600624,1000210
2297,1000267,772.0,5405062,1000131
2298,1001614,1109.0,16552370,1001605
2299,1001325,1279.0,69459473,1001388
2300,1000826,116.0,37558540,1058104
2301,1000326,100.0,33006764,1000219
2302,1000853,961.0,63054393,1000836
2303,1058117,77.0,37599424,1001940
2304,1001106,1145.0,16569161,1058079
2305,1001121,1161.0,5373065,1000915
2306,1058026,508.0,16066611,1000495
2307,1001024,1079.0,37993561,1001005
2308,1000248,335.0,32672379,1000244
2309,1000538,906.0,63593010,1001725
2310,1001106,1145.0,16101098,1001503
2311,1058005,46.0,62978735,1002035
2312,1000167,727.0,16103044,1000121
2313,1000804,971.0,15989331,1000830
2314,1001007,1047.0,38001332,1001008
2315,1000618,891.0,31821369,1000605
2316,1000605,930.0,5286750,1000816
2317,1001008,607.0,64043192,1000513
2318,1058050,124.0,63611165,1058043
2319,1000824,87.0,32959640,1000733
2320,1000250,767.0,69360644,1000174
2321,1058079,181.0,80865746,1001252
2322,1058009,45.0,62965757,1058134
2323,1000563,922.0,37606081,1058047
2324,1058043,59.0,80958636,1058111
2325,1001825,324.0,63643936,1001838
2326,1001035,1090.0,5181951,1058029
2327,1001838,315.0,16143734,1000303
2328,1000412,810.0,62967561,1000424
2329,1000424,784.0,31648116,1000474
2330,1001946,123.0,69494609,1000513
2331,1000867,946.0,16141903,1000869
2332,1058009,45.0,69491606,1058050
2333,1058047,22.0,15423548,1058104
2334,1058047,22.0,80902988,1058104
2335,1058096,96.0,63016073,1058104
2336,1001805,299.0,5437835,1001804
2337,1001109,1153.0,80903172,1058128
2338,1001020,1069.0,63587172,1001021
2339,1058131,609.0,66130301,1058039
2340,1000142,715.0,63036169,1000189
2341,1000905,1031.0,32691246,1000955
2342,1000189,97.0,33036808,1000249
2343,1001413,487.0,37516741,1001418
2344,1001116,1160.0,16059746,1000701
2345,1001858,175.0,80834491,1001841
2346,1001841,330.0,36533170,1001858
2347,1001418,18.0,32971117,1000141
2348,1001343,1295.0,63612212,1001349
2349,1002051,460.0,16132565,1002009
2350,1000564,841.0,80974389,1000518
2351,1000705,601.0,80968470,1000704
2352,1001966,655.0,69518795,1001933
2353,1000528,895.0,31753262,1002062
2354,1058129,39.0,63600856,1058039
2355,1058039,526.0,5520094,1001524
2356,1001906,362.0,80727161,1000174
2357,1000261,84.0,80964357,1000217
2358,1001417,1289.0,29569232,1001414
2359,1058117,77.0,37276152,1058009
2360,1058009,45.0,16113501,1058117
2361,1000935,1016.0,16122403,1000908
2362,1000868,989.0,31693063,1000863
2363,1058047,22.0,15423129,1058104
2364,1001241,1231.0,80962245,1001211
2365,1000124,572.0,69557733,1001528
2366,1001374,448.0,80827504,1000281
2367,1000265,308.0,16013921,1001846
2368,1001528,457.0,31640104,1001007
2369,1001962,497.0,62982395,1001937
2370,1001915,979.0,37622091,1001932
2371,1001225,1216.0,5405082,1001112
2372,1058116,602.0,37548881,1058029
2373,1000412,810.0,37259564,1000489
2374,1058029,56.0,5418706,1058116
2375,1001527,397.0,63612204,1001413
2376,1000848,1018.0,62994928,1000511
2377,1001144,1179.0,31769797,1058079
2378,1000805,980.0,16489590,1000809
2379,1001830,333.0,63053923,1001210
2380,1002060,481.0,69291176,1002022
2381,1001380,1105.0,37512816,1001385
2382,1001385,1112.0,31669155,1001359
2383,1001128,1170.0,31662643,1000620
2384,1001808,300.0,5525450,1001810
2385,1001018,224.0,63632043,1000549
2386,1001737,166.0,16085733,1000142
2387,1001216,1195.0,33048992,1001217
2388,1001139,1178.0,31787530,1000621
2389,1058047,22.0,31702133,1000724
2390,1001216,1195.0,16504953,1001263
2391,1000311,257.0,16061777,1000525
2392,1000401,796.0,31819393,1000496
2393,1002014,437.0,31826629,1001817
2394,1001808,300.0,37937754,1001407
2395,1000446,840.0,31788134,1000551
2396,1058079,181.0,31787085,1001211
2397,1001116,1160.0,69482138,1001121
2398,1001121,1161.0,31776308,1001116
2399,1058127,505.0,37205956,1058133
2400,1058133,614.0,32690868,1058127
2401,1001040,425.0,64120345,1001008
2402,1058047,22.0,81009346,1058122
2403,1001229,1223.0,37207223,1000933
2404,1001262,1192.0,80399272,1001256
2405,1001112,1154.0,80951626,1001216
2406,1001008,607.0,16503794,1000708
2407,1001720,638.0,37297419,1001701
2408,1001701,291.0,31753405,1001848
2409,1001802,267.0,5424653,1001833
2410,1001722,244.0,69436257,1001715
2411,1000616,929.0,5277189,1001502
2412,1000863,1032.0,31700966,1000869
2413,1000717,958.0,69323594,1000707
2414,1058104,76.0,16067352,1058047
2415,1001024,1079.0,38010469,1058123
2416,1001827,331.0,5281482,1001413
2417,1001229,1223.0,37669728,1001215
2418,1002003,416.0,37206810,1001336
2419,1001954,422.0,37205538,1001813
2420,1001012,1061.0,62987031,1001009
2421,1000246,750.0,63630472,1000428
2422,1002022,1054.0,37240869,1000460
2423,1000838,1003.0,16609280,1058039
2424,1058115,600.0,16495308,1000844
2425,1001350,1301.0,37263247,1001372
2426,1002032,449.0,36430145,1002054
2427,1002054,298.0,36628746,1001628
2428,1001372,1323.0,62972177,1001350
2429,1001111,1151.0,80959051,1000188
2430,1001241,1231.0,37599284,1000828
2431,1001344,1197.0,37587160,1001225
2432,1001325,1279.0,37224479,1001303
2433,1000449,438.0,19554386,1000491
2434,1001119,1164.0,64072926,1001034
2435,1001214,632.0,69396230,1000808
2436,1001516,1315.0,69379496,1001529
2437,1001233,1226.0,37295002,1001204
2438,1058114,32.0,31718040,1000819
2439,1001504,1319.0,32676712,1002007
2440,1058111,82.0,69464453,1001329
2441,1058029,56.0,63051396,1058116
2442,1000433,806.0,37259154,1000474
2443,1001218,1201.0,31782413,1001224
2444,1000928,1040.0,80958033,1000910
2445,1000910,1038.0,69544819,1000943
2446,1000928,1040.0,32745145,1000955
2447,1001942,408.0,63658076,1000248
2448,1001229,1223.0,33005064,1001805
2449,1001266,1244.0,31819890,1001940
2450,1000519,880.0,37530900,1001838
2451,1002024,35.0,63658854,1002014
2452,1000609,932.0,5402279,1001205
2453,1000203,738.0,37593642,1001915
2454,1001713,541.0,63040285,1001203
2455,1058042,530.0,5279151,1058034
2456,1001343,1295.0,63537890,1001381
2457,1001381,1106.0,31715097,1001371
2458,1000480,503.0,69310036,1000530
2459,1000531,900.0,69333056,1000501
