,zmu,index_zmu,idtrajectory,zmu_destination
1959,1000208,733,58847540,1000920
1960,1058003,47,58820182,1058079
1961,1058117,77,58416176,1058003
1962,1001539,301,59275900,1001528
1963,1001701,291,58846073,1001143
1964,1001918,376,58329848,1001954
1965,1001918,376,59226676,1001827
1966,1058122,93,58756848,1058047
1967,1058047,22,58377871,1058122
1968,1058034,515,58315666,1058102
1969,1001256,1240,58811670,1001242
1970,1058116,602,59243760,1058029
1971,1058029,56,58367844,1058116
1972,1001108,1152,59216189,1000712
1973,1001906,362,58312494,1001708
1974,1001830,333,59248765,1001906
1975,1001256,1240,59198007,1001413
1976,1001242,293,59197782,1001256
1977,1001018,224,58781816,1001042
1978,1000490,863,58849053,1000404
1979,1001954,422,58752395,1001918
1980,1000922,228,58839531,1001256
1981,1058093,665,59275770,1002018
1982,1002018,33,59220189,1058093
1983,1000147,719,59220308,1000942
1984,1001501,1099,58413577,1001502
1985,1001138,1176,58310778,1001126
1986,1001229,1223,58845546,1000472
1987,1002015,94,58813056,1058038
1988,1058079,181,58402413,1058117
1989,1001245,1235,58331630,1058079
1990,1000206,746,58386345,1000301
1991,1000505,142,59216967,1000305
1992,1000448,801,58413060,1000490
1993,1002040,8,58415488,1002056
1994,1002040,8,59222058,1058015
1995,1002022,1054,59195062,1002040
1996,1002056,452,58846685,1002022
1997,1001405,1117,59237414,1058013
1998,1001401,1120,59217173,1001405
1999,1001815,1191,58389997,1001413
2000,1001418,18,58816617,1001401
2001,1001413,487,58798706,1001418
2002,1058117,77,58799870,1001236
2003,1000124,572,59228259,1000129
2004,1001520,986,59270217,1001519
2005,1058023,54,58763096,1058104
2006,1000476,860,58316880,1000429
2007,1001852,352,58353728,1001824
2008,1001540,263,59252236,1001528
2009,1001507,213,59219646,1001540
2010,1001630,1303,59179287,1001507
2011,1001540,263,58811758,1001630
2012,1002031,446,58390203,1002078
2013,1000301,644,58416386,1000535
2014,1000707,948,58343230,1000645
2015,1001228,1222,58777442,1001229
2016,1001229,1223,58822351,1058029
2017,1001266,1244,58366002,1001253
2018,1058117,77,58845685,1058007
2019,1058007,495,59245812,1058117
2020,1001252,886,58774457,1058117
2021,1001253,1238,58391991,1001252
2022,1001535,1132,59194556,1001111
2023,1002051,460,58848137,1002022
2024,1001325,1279,58380154,1001357
2025,1000543,911,58819807,1000533
2026,1000533,902,59225869,1000557
2027,1000507,501,58345429,1000543
2028,1058072,30,58314609,1058007
2029,1000842,154,58744532,1000818
2030,1000812,993,58772324,1000407
2031,1000266,771,59241872,1000279
2032,1000422,167,59218696,1000266
2033,1000437,262,58835540,1000422
2034,1000727,965,58411761,1000714
2035,1000714,955,58846508,1000727
2036,1058029,56,59278641,1058097
2037,1058079,181,58766921,1058117
2038,1000318,788,58399760,1000333
2039,1000826,116,58405944,1000858
2040,1000858,182,58325869,1000826
2041,1000703,942,58350096,1000704
2042,1000704,945,58363231,1000703
2043,1000703,942,58393039,1000719
2044,1000719,952,58803747,1000704
2045,1000704,945,59247041,1000703
2046,1002003,416,59238586,1000245
2047,1000626,917,59206762,1000645
2048,1000645,618,58840407,1000626
2049,1001054,1147,58367302,1000733
2050,1058131,609,58332203,1001054
2051,1058072,30,58847774,1058111
2052,1001359,1305,59199022,1001329
2053,1001301,341,58827450,1001359
2054,1058034,515,58357549,1058122
2055,1001204,1182,58368414,1001254
2056,1001123,1157,58311446,1001114
2057,1001114,1156,58849446,1001847
2058,1000486,1121,58789810,1000305
2059,1000628,870,58416250,1000508
2060,1000918,983,58805471,1001053
2061,1000954,819,58748606,1000918
2062,1001006,962,58353226,1000954
2063,1000922,228,58786043,1000920
2064,1000920,121,58807603,1000146
2065,1000724,956,59254617,1000922
2066,1000146,714,58848712,1000724
2067,1000491,865,59207852,1001020
2068,1001053,284,58339681,1000491
2069,1000805,980,58309806,1001053
2070,1001720,638,58341356,1001723
2071,1000912,648,59241618,1001126
2072,1000713,953,58364171,1000501
2073,1000726,964,58350477,1000713
2074,1000566,130,58316022,1000726
2075,1000466,848,59180598,1058065
2076,1058065,553,59243999,1058059
2077,1058114,32,59220437,1058110
2078,1002036,453,59217451,1001226
2079,1000943,1025,59178173,1000924
2080,1000924,111,58783349,1000943
2081,1000910,1038,58370634,1000563
2082,1001713,541,58341319,1001720
2083,1058003,47,58312471,1058043
2084,1058003,47,58773718,1058043
2085,1058043,59,58349359,1058003
2086,1001613,1204,58367022,1001612
2087,1001603,1325,58328184,1001613
2088,1001228,1222,58313517,1001227
2089,1001227,1194,58765018,1001228
2090,1001130,1174,59263293,1001015
2091,1001835,337,58810607,1001807
2092,1001835,337,58837240,1001842
2093,1001842,344,59250505,1001835
2094,1000250,767,58404129,1002010
2095,1002010,86,58847999,1000531
2096,1000189,97,59262492,1000239
2097,1002022,1054,58350702,1000189
2098,1001368,1094,59239109,1001367
2099,1001367,296,58798974,1001368
2100,1001234,1196,58364456,1001265
2101,1058009,45,58382511,1058003
2102,1058003,47,58358266,1058009
2103,1001042,411,59224567,1001018
2104,1000535,904,58748889,1000486
2105,1000501,873,58393903,1000564
2106,1000486,1121,58769289,1000451
2107,1000484,659,58815735,1000412
2108,1000424,784,58793664,1000484
2109,1058047,22,58359842,1058104
2110,1001321,1275,58371989,1001254
2111,1058122,93,58353491,1001005
2112,1001119,1164,58351923,1000914
2113,1001208,1070,59195726,1001503
2114,1058043,59,58341996,1058111
2115,1001414,749,58843770,1001411
2116,1001707,1230,58804772,1000199
2117,1002024,35,59202221,1058005
2118,1058005,46,58849424,1002024
2119,1058104,76,59256299,1058047
2120,1000701,273,59257540,1000725
2121,1000725,963,58850265,1000701
2122,1001739,164,58793705,1000204
2123,1000204,210,59241166,1002026
2124,1000703,942,58347341,1000720
2125,1000309,370,59185522,1000719
2126,1000142,715,58848268,1000309
2127,1000720,943,58415361,1000142
2128,1001104,1139,59234642,1001502
2129,1058104,76,58766691,1058100
2130,1001265,1246,58779558,1058079
2131,1000428,251,58353352,1000512
2132,1000926,991,58413582,1002022
2133,1058065,553,58795920,1058071
2134,1000546,858,58354962,1058065
2135,1000549,869,58800572,1000448
2136,1000488,137,58828168,1000473
2137,1001716,240,58820244,1001705
2138,1002054,298,58358583,1001716
2139,1002050,402,58332377,1002054
2140,1001385,1112,58367512,1000120
2141,1058086,569,58826737,1058039
2142,1001502,683,58398250,1001208
2143,1001114,1156,58323280,1001109
2144,1000715,226,59240006,1001016
2145,1058119,10,58819610,1000715
2146,1058032,57,59202766,1058054
2147,1058004,49,58360996,1058032
2148,1058047,22,58796406,1000553
2149,1000266,771,59245114,1000214
2150,1001957,195,58344235,1001413
2151,1001259,1326,58343546,1001265
2152,1001265,1246,59221965,1001259
2153,1001259,1326,59257863,1001231
2154,1000528,895,58780490,1001009
2155,1000562,915,58759513,1000566
2156,1000479,855,58379279,1000412
2157,1000412,810,58403406,1000562
2158,1058064,551,58801526,1058039
2159,1058039,526,58748887,1058064
2160,1058064,551,58414256,1058039
2161,1058039,526,58835358,1058064
2162,1058034,515,59211270,1001017
2163,1000560,919,59191992,1000524
2164,1058038,519,58796871,1000560
2165,1001253,1238,58808801,1001226
2166,1000819,999,58376604,1000816
2167,1000814,995,58778323,1000819
2168,1000816,208,58763240,1000814
2169,1000281,431,58349321,1000704
2170,1058047,22,59284897,1058104
2171,1058005,46,58825557,1058016
2172,1058016,504,58349874,1058005
2173,1000715,226,59200518,1000846
2174,1000846,285,58814921,1000715
2175,1001213,292,59186522,1001243
2176,1001262,1192,58823303,1001213
2177,1001243,1232,58321193,1001262
2178,1058047,22,59220937,1058104
2179,1000522,689,59249505,1000320
2180,1058047,22,58413302,1058122
2181,1001715,1075,59206052,1001418
2182,1001026,1068,58818520,1001002
2183,1001026,1068,58802501,1001002
2184,1001002,1051,59180951,1001008
2185,1001008,607,59266809,1001002
2186,1000640,107,59257648,1000612
2187,1000609,932,59208359,1000646
2188,1001610,1327,58388385,1001510
2189,1001510,1126,58809901,1001529
2190,1001529,203,59193198,1001535
2191,1058065,553,58806290,1002021
2192,1001827,331,58767988,1001804
2193,1001820,415,58347436,1001827
2194,1058043,59,58807765,1058009
2195,1001504,1319,58391161,1001349
2196,1001613,1204,58368917,1001504
2197,1001349,1237,59258215,1001347
2198,1058119,10,58810202,1000845
2199,1000413,811,58387692,1058081
2200,1000224,753,58377051,1000204
2201,1000204,210,59194129,1002063
2202,1000212,748,58341900,1000241
2203,1000318,788,58338545,1000278
2204,1058074,69,59249319,1058114
2205,1058114,32,59215430,1058074
2206,1001827,331,58330312,1001813
2207,1001813,318,58368857,1000511
2208,1001904,258,58374813,1000146
2209,1001222,1211,58768528,1001021
2210,1001219,1202,58768317,1001222
2211,1001049,281,59259625,1001231
2212,1001021,1073,59231653,1001049
2213,1002018,33,58327885,1000491
2214,1001526,382,58378907,1001626
2215,1001225,1216,59227027,1001228
2216,1001228,1222,59252941,1001243
2217,1001001,629,58757919,1001016
2218,1001026,1068,58381964,1001001
2219,1002021,231,59213965,1058005
2220,1058005,46,59269278,1058013
2221,1001001,629,58348331,1001003
2222,1001028,1081,58757665,1001002
2223,1001377,1100,58794092,1001391
2224,1001391,1116,58378320,1001377
2225,1058047,22,58841343,1058104
2226,1058104,76,59253441,1000525
2227,1000511,879,58794354,1001044
2228,1000540,909,58757201,1000511
2229,1058088,571,59214796,1058039
2230,1058013,52,58784946,1058054
2231,1000805,980,59274571,1000830
2232,1001608,1135,58352788,1000118
2233,1001210,230,59216499,1001223
2234,1058112,70,58773050,1058053
2235,1058053,542,58759961,1058112
2236,1058029,56,58401013,1058116
2237,1001139,1178,58315167,1001138
2238,1001317,1272,58758894,1001357
2239,1001357,1083,59235467,1001339
2240,1000611,662,59260756,1000701
2241,1000211,747,58339923,1000105
2242,1000952,754,58848086,1001028
2243,1000217,677,58798951,1000279
2244,1000267,772,58758153,1000279
2245,1000279,775,58775016,1000217
2246,1000279,775,58846396,1000303
2247,1001375,627,58848717,1000947
2248,1001520,986,59208206,1001606
2249,1001614,1109,58415853,1001520
2250,1001613,1204,58394387,1001614
2251,1058047,22,58812357,1058040
2252,1002071,485,59215650,1002065
2253,1058104,76,58395609,1001218
2254,1058114,32,59213363,1058074
2255,1058119,10,58764637,1058036
2256,1058036,524,59214014,1058040
2257,1058007,495,58788603,1058072
2258,1001612,401,58397932,1001403
2259,1001403,1122,59214181,1001802
2260,1058122,93,58351166,1058047
2261,1058047,22,58397072,1058098
2262,1002032,449,58399892,1000190
2263,1058128,588,58386733,1000855
2264,1001737,166,58846995,1001217
2265,1058131,609,59217991,1058133
2266,1000812,993,58359822,1001835
2267,1001350,1301,58743164,1001364
2268,1001351,1304,58412616,1001350
2269,1000252,98,58767454,1058047
2270,1000267,772,58403300,1000252
2271,1058039,526,58346297,1058128
2272,1002071,485,58780002,1001721
2273,1002029,447,58384308,1002071
2274,1000110,694,58373025,1000196
2275,1000104,394,58404182,1000103
2276,1000168,728,58342396,1000110
2277,1000169,729,58321696,1000168
2278,1000143,716,58810329,1000173
2279,1000429,821,59251354,1000469
2280,1058023,54,58804121,1058116
2281,1058104,76,58776699,1058023
2282,1002073,469,58748937,1002012
2283,1002012,430,59274574,1002070
2284,1000406,803,58785631,1000428
2285,1000497,871,59213639,1000251
2286,1000428,251,59197285,1000497
2287,1058050,124,58358579,1058111
2288,1001242,293,58374591,1001635
2289,1000242,583,58808077,1000205
2290,1000211,747,58394298,1000205
2291,1058047,22,58377786,1000858
2292,1000223,752,58844904,1000212
2293,1000225,253,59244381,1000241
2294,1000212,748,59226470,1000225
2295,1000103,692,58754945,1000143
2296,1000530,899,59267180,1000529
2297,1000173,27,59190062,1000530
2298,1001830,333,58845366,1001801
2299,1001801,265,59220559,1001830
2300,1001915,979,58413001,1001830
2301,1000523,889,58802813,1000818
2302,1000818,974,58749022,1000523
2303,1000715,226,59237556,1001045
2304,1000818,974,59219978,1000715
2305,1001613,1204,58839509,1001801
2306,1000817,997,58820627,1000460
2307,1000535,904,58414925,1000510
2308,1001251,147,58849985,1058057
2309,1058057,62,58768001,1001251
2310,1001363,640,58788085,1001355
2311,1058015,53,58767706,1002039
2312,1058040,58,58780244,1058034
2313,1002007,427,58331983,1058040
2314,1001106,1145,58809834,1001133
2315,1000613,66,59256872,1000130
2316,1000167,727,59223851,1001605
2317,1001605,1209,58335695,1000167
2318,1001325,1279,59185330,1001346
2319,1001222,1211,59232467,1001224
2320,1001224,1214,59211985,1001222
2321,1000842,154,58336702,1000812
2322,1000842,154,58821369,1000812
2323,1000211,747,59216654,1001211
2324,1000316,110,58315357,1000247
2325,1002026,641,58848724,1000301
2326,1001720,638,58824911,1002026
2327,1001011,1064,58792588,1001008
2328,1058110,74,58403526,1058034
2329,1058042,530,58336073,1058110
2330,1001380,1105,59232283,1001327
2331,1001836,338,59223074,1001940
2332,1001303,1254,58848878,1001327
2333,1001327,1278,59221231,1001380
2334,1001618,197,59203303,1001607
2335,1001349,1237,58773918,1001363
2336,1001397,171,58400054,1001349
2337,1058002,480,58393085,1058083
2338,1058023,54,59245235,1058104
2339,1058104,76,59211729,1058023
2340,1001701,291,59248509,1000153
2341,1001534,136,59250502,1001606
2342,1058026,508,58343818,1058110
2343,1058122,93,58760209,1000952
2344,1058110,74,58354153,1058122
2345,1000491,865,59251550,1058047
2346,1000459,829,59213642,1000491
2347,1001813,318,59276816,1001963
2348,1001963,5,58385091,1001827
2349,1058079,181,58749936,1058117
2350,1001210,230,58835462,1001501
2351,1000812,993,58765194,1000842
2352,1000849,117,58324138,1000842
2353,1058022,663,58341845,1058003
2354,1058009,45,58848517,1058022
2355,1058003,47,58357734,1058009
2356,1058022,663,59218007,1058057
2357,1000503,872,58766204,1000529
2358,1001523,1266,59253021,1001618
2359,1000119,707,58782713,1000815
2360,1000815,996,59218594,1000517
2361,1002065,474,59255490,1000418
2362,1058131,609,58380048,1058064
2363,1001050,1144,59225995,1058039
2364,1058128,588,58850009,1001050
2365,1058064,551,58778610,1058128
2366,1002050,402,58802093,1000219
2367,1001711,236,58404093,1002050
2368,1000219,757,59259196,1001733
2369,1001121,1161,58350503,1001210
2370,1001141,4,58367885,1000946
2371,1001627,1166,58332796,1001605
2372,1001502,683,58367695,1001131
2373,1001603,1325,58359323,1001501
2374,1058131,609,58837321,1058039
2375,1058039,526,58396130,1058131
2376,1000213,60,58813575,1000249
2377,1000249,621,59189411,1000265
2378,1000265,308,59194902,1000258
2379,1000258,676,59204127,1000249
2380,1000248,335,59239079,1000258
2381,1000265,308,59271466,1000258
2382,1000249,621,59218138,1000258
2383,1000274,381,58789772,1000213
2384,1000277,418,58786479,1000274
2385,1058036,524,58742573,1000277
2386,1001526,382,58770039,1001532
2387,1001532,672,58850162,1001526
2388,1001614,1109,58413192,1001526
2389,1000927,636,58376526,1001007
2390,1001007,1047,58847159,1000182
2391,1001362,1317,59209274,1001411
2392,1058025,511,59258181,1058074
2393,1000222,756,58752367,1058032
2394,1001227,1194,58334962,1001329
2395,1000809,990,59235433,1000805
2396,1000847,1022,59197204,1000809
2397,1001349,1237,59261129,1001351
2398,1001351,1304,59191892,1001349
2399,1000247,280,58799560,1000923
2400,1000604,927,59218379,1000712
