index_zmu;POP_TOT_ZMU;zmu;comune;nome_comun;quartiere;pgtu;municipio;OperatorInfo;NumberOfPoints;ID;city;Connection_TypeID;Connection_ID;Power;charging_stations
181.0;61346;1058079;58079;Pomezia;;7;;IN'S Mercato Torvaianica  | Lampionet;2;108747;Pomezia ;25;153265;not available;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Castagnetta | EnelX;2;133168;Pomezia;36;186053;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Castagnetta | EnelX;2;133168;Pomezia;25;186052;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Via Signa | EnelX;2;113995;Pomezia;36;160176;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Via Signa | EnelX;2;113995;Pomezia;25;160175;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Levante | EnelX;2;134635;Pomezia;25;187929;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Levante | EnelX;2;134635;Pomezia;36;187930;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Via Lago Maggiore | EnelX;2;113992;Pomezia;36;160170;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Torvajanica Via Lago Maggiore | EnelX;2;113992;Pomezia;25;160169;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Centro Commerciale Sedici Pini;1;57864;Pomezia;36;72683;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Eneldrive Centro Commerciale Sedici Pini;1;57864;Pomezia;25;72682;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Anchise | EnelX;2;109802;Pomezia;36;154638;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Anchise | EnelX;2;109802;Pomezia;25;154637;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Odisseo | EnelX;2;133154;Pomezia;25;186023;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Odisseo | EnelX;2;133154;Pomezia;36;186024;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Nenni | EnelX;2;113991;Pomezia;25;160167;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Nenni | EnelX;2;113991;Pomezia;36;160168;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Pontina Vecchia | EnelX;2;109803;Pomezia;25;154639;22;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Pontina Vecchia | EnelX;2;109803;Pomezia;36;154640;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Aldo Moro | EnelX;2;133153;Pomezia;36;186022;3.7;1
181.0;61346;1058079;58079;Pomezia;;7;;Pomezia Aldo Moro | EnelX;2;133153;Pomezia;25;186021;22;1
181.0;61346;1058079;58079;Pomezia;;7;;EnelX ADS Eni Pomezia;3;57867;Pomezia;33;72691;43;1
181.0;61346;1058079;58079;Pomezia;;7;;EnelX ADS Eni Pomezia;3;57867;Pomezia;25;72689;43;1
181.0;61346;1058079;58079;Pomezia;;7;;EnelX ADS Eni Pomezia;3;57867;Pomezia;25;72688;22;1
