,counts,index_zmu,POP_TOT_ZMU,zmu,hr,nome_comun,quartiere,tripdistance_m,triptime_m,breaktime_m
13565,3.57,594,2802.0,1000410,14.0,Roma,Monte Sacro Alto,11430,17,449
13566,4.31,796,2783.0,1000401,15.0,Roma,Monte Sacro,4283,12,657
13567,2.86,594,2802.0,1000410,12.0,Roma,Monte Sacro Alto,2925,9,250
13568,3.44,1199,2911.0,1001714,6.0,Roma,Prati,2880,16,378
13569,10.08,742,2777.0,1000205,5.0,Roma,Parioli,8625,22,1379
13570,7.25,340,1103.0,1001833,11.0,Roma,Aurelio,3462,8,282
13571,6.35,340,1103.0,1001833,5.0,Roma,Aurelio,14328,12,1049
13572,51.28,731,78.0,1000175,4.0,Roma,Castro Pretorio,14100,29,3317
13573,2.6,1018,1926.0,1000848,7.0,Roma,Acqua Vergine,3860,9,194
13574,5.35,594,2802.0,1000410,18.0,Roma,Monte Sacro Alto,4826,16,165
13575,34.48,525,348.0,1000438,18.0,Roma,Monte Sacro Alto,5141,11,129
13576,2.87,525,348.0,1000438,1.0,Roma,Monte Sacro Alto,1000,3,517
13577,5.42,818,1475.0,1000427,9.0,Roma,Castel Giubileo,18987,15,266
13578,2.48,333,3221.0,1001830,5.0,Roma,Aurelio,21725,49,613
13579,0.76,986,2632.0,1001520,5.0,Roma,Gianicolense,28250,24,792
13580,3.8,986,2632.0,1001520,9.0,Roma,Gianicolense,3610,8,47
13581,4.66,205,2576.0,1001628,9.0,Roma,Gianicolense,14300,13,76
13582,2.22,393,1351.0,1001936,9.0,Roma,Tomba di Nerone,2066,5,836
13583,26.02,360,269.0,1001902,9.0,Roma,Trionfale,5528,12,909
13584,0.82,334,2449.0,1001831,22.0,Roma,Aurelio,4850,11,3708
13585,3.87,368,3362.0,1001910,17.0,Roma,Primavalle,12576,22,1409
13586,6.38,110,784.0,1000316,12.0,Roma,Nomentano,6380,21,1103
13587,41.67,458,96.0,1000408,14.0,Roma,Monte Sacro Alto,1150,4,539
13588,5.55,503,2703.0,1000480,15.0,Roma,Monte Sacro Alto,3700,12,585
